"time","Porto Velho","Vilhena","Ariquemes","Cacoal"
"Jan 1, 2007",26.803,27.393,29.618,28.079
"Jan 9, 2007",27.209,26.358,31.082,27.381
"Jan 17, 2007",28.495,27.634,30.075,29.617
"Jan 25, 2007",28.215,26.229,29.176,25.92
"Feb 2, 2007",27.148,,28.472,27.921
"Feb 10, 2007",28.075,27.35,27.13,25.089
"Feb 18, 2007",26.511,25.426,28.865,25.696
"Feb 26, 2007",29.581,28.626,31.31,30.802
"Mar 6, 2007",27.4,26.575,29.079,28.081
"Mar 14, 2007",27.222,25.306,29.877,28.465
"Mar 22, 2007",28.604,27.767,29.614,29.943
"Mar 30, 2007",28.251,27.535,29.692,28.649
"Apr 7, 2007",25.728,26.763,25.614,28.5
"Apr 15, 2007",26.454,27.505,28.957,29.017
"Apr 23, 2007",27.201,27.041,29.119,28.338
"May 1, 2007",27.207,27.197,27.815,28.361
"May 9, 2007",25.287,26.142,26.513,27.065
"May 17, 2007",28.466,27.767,30.203,29.901
"May 25, 2007",24.471,24.177,25.999,25.991
"Jun 2, 2007",26.583,26.81,28.449,28.685
"Jun 10, 2007",27.631,28.146,30.261,30.464
"Jun 18, 2007",28.318,27.865,31.261,30.457
"Jun 26, 2007",28.039,27.254,30.942,29.724
"Jul 4, 2007",28.822,28.731,32.596,31.407
"Jul 12, 2007",26.301,27.088,29.956,30.135
"Jul 20, 2007",27.11,24.306,29.501,28.617
"Jul 28, 2007",28.332,27.93,31.176,30.741
"Aug 5, 2007",29.211,29.13,32.14,31.742
"Aug 13, 2007",30.556,29.407,33.99,33.363
"Aug 21, 2007",29.794,30.204,32.917,32.285
"Aug 29, 2007",29.402,28.789,32.191,31.561
"Sep 6, 2007",31.318,30.053,33.35,32.71
"Sep 14, 2007",30.593,30.556,32.873,33.391
"Sep 22, 2007",31.495,31.603,34.456,33.886
"Sep 30, 2007",30.629,29.637,32.679,34.203
"Oct 8, 2007",30.28,29.928,33.781,32.066
"Oct 16, 2007",29.763,29.968,32.721,32.345
"Oct 24, 2007",29.424,30.248,31.503,31.276
"Nov 1, 2007",29.194,30.658,32.282,31.528
"Nov 9, 2007",30.159,28.075,31.946,30.63
"Nov 17, 2007",27.742,28.721,29.395,28.857
"Nov 25, 2007",29.058,26.485,29.919,32.603
"Dec 3, 2007",28.221,29.462,29.306,29.332
"Dec 11, 2007",27.217,27.282,26.907,27.883
"Dec 19, 2007",28.318,27.873,26.501,29.662
"Dec 27, 2007",27.238,26.322,,30.856
"Jan 1, 2008",27.309,29.332,28.176,30.828
"Jan 9, 2008",29.892,27.978,19.449,26.295
"Jan 17, 2008",26.206,22.718,,
"Jan 25, 2008",26.996,,,29.789
"Feb 2, 2008",28.797,26.566,30.916,30.434
"Feb 10, 2008",27.162,26.576,31.106,29.17
"Feb 18, 2008",25.419,26.636,28.169,28.584
"Feb 26, 2008",26.735,26.657,,28.75
"Mar 5, 2008",27.186,28.591,31.331,29.396
"Mar 13, 2008",24.551,24.564,27.684,25.017
"Mar 21, 2008",26.729,27.347,,24.4
"Mar 29, 2008",27.67,24.447,25.333,28.031
"Apr 6, 2008",28.853,27.561,29.623,28.999
"Apr 14, 2008",26.121,25.919,28.329,27.409
"Apr 22, 2008",26.367,27.015,28.705,29.008
"Apr 30, 2008",24.01,24.554,26.064,24.912
"May 8, 2008",26.831,25.622,27.627,28.031
"May 16, 2008",26.762,27.403,27.102,28.923
"May 24, 2008",27.979,27.629,29.68,28.551
"Jun 1, 2008",25.979,26.879,28.071,28.076
"Jun 9, 2008",26.633,27.039,29.211,29.5
"Jun 17, 2008",25.987,25.396,26.736,28.125
"Jun 25, 2008",27.402,27.048,29.946,29.37
"Jul 3, 2008",28.33,27.832,30.9,30.81
"Jul 11, 2008",28.814,28.079,31.908,31.486
"Jul 19, 2008",29.082,29.349,32.58,32.43
"Jul 27, 2008",29.63,30.089,34.212,33.625
"Aug 4, 2008",28.863,29.151,33.394,33.539
"Aug 12, 2008",30.817,30.879,34.913,35.305
"Aug 20, 2008",30.845,31.45,35.245,35.247
"Aug 28, 2008",30.049,30.423,33.703,33.965
"Sep 5, 2008",29.168,29.829,33.294,34.73
"Sep 13, 2008",30.175,30.091,34.246,34.553
"Sep 21, 2008",30.08,30.108,36.394,36.966
"Sep 29, 2008",32.529,31.634,35.809,36.232
"Oct 7, 2008",30.395,29.887,35.565,33.061
"Oct 15, 2008",30.996,29.477,33.728,33.167
"Oct 23, 2008",30.868,31.676,32.88,34.16
"Oct 31, 2008",30.388,29.929,34.128,32.299
"Nov 8, 2008",32.824,30.208,34.424,33.558
"Nov 16, 2008",28.66,26.103,29.386,26.495
"Nov 24, 2008",26.651,29.194,30.343,30.939
"Dec 2, 2008",27.995,25.805,30.688,32.248
"Dec 10, 2008",29.54,28.386,30.929,29.842
"Dec 18, 2008",26.826,25.119,27.077,
"Dec 26, 2008",27.166,24.222,29.741,
"Jan 1, 2009",30.751,26.963,28.293,29.779
"Jan 9, 2009",26.101,27.787,28.797,28.408
"Jan 17, 2009",26.422,26.688,29.746,29.191
"Jan 25, 2009",27.292,26.11,28.812,27.776
"Feb 2, 2009",27.819,26.833,27.094,28.601
"Feb 10, 2009",28.178,31.003,32.305,27.962
"Feb 18, 2009",26.08,24.663,26.811,25.247
"Feb 26, 2009",27.343,27.768,29.328,27.469
"Mar 6, 2009",27.594,28.598,28.829,30.223
"Mar 14, 2009",26.167,25.687,27.207,25.638
"Mar 22, 2009",27.204,28.503,29.269,30.395
"Mar 30, 2009",27.491,25.763,29.441,27.06
"Apr 7, 2009",25.596,27.849,26.818,28.766
"Apr 15, 2009",26.327,26.296,26.771,27.805
"Apr 23, 2009",25.279,26.385,26.989,26.563
"May 1, 2009",27.221,25.979,28.938,28.113
"May 9, 2009",27.741,26.861,28.405,28.861
"May 17, 2009",26.403,25.895,28.331,28.239
"May 25, 2009",25.664,26.851,27.162,28.75
"Jun 2, 2009",25.402,24.49,26.557,26.671
"Jun 10, 2009",25.342,23.956,27.376,26.3
"Jun 18, 2009",27.344,26.245,28.298,29.067
"Jun 26, 2009",26.793,26.594,28.761,29.69
"Jul 4, 2009",27.592,27.149,30.079,30.018
"Jul 12, 2009",27.65,26.483,29.929,29.648
"Jul 20, 2009",27.453,27.361,29.837,29.482
"Jul 28, 2009",28.748,28.789,31.805,31.287
"Aug 5, 2009",28.638,28.913,32.229,32.308
"Aug 13, 2009",30.3,29.757,34.008,34.155
"Aug 21, 2009",29.982,28.406,33.181,32.871
"Aug 29, 2009",30.837,30.636,33.884,34.192
"Sep 6, 2009",30.731,30.843,33.426,34.122
"Sep 14, 2009",30.831,30.974,33.697,34.675
"Sep 22, 2009",29.93,30.476,32.806,34.12
"Sep 30, 2009",29.846,29.414,31.255,32.761
"Oct 8, 2009",31.261,29.542,32.108,32.419
"Oct 16, 2009",31.227,27.317,30.036,30.716
"Oct 24, 2009",30.745,30.568,32.901,29.288
"Nov 1, 2009",28.284,28.837,30.437,30.279
"Nov 9, 2009",30.922,31.167,31.829,34.156
"Nov 17, 2009",30.015,29.733,32.029,31.524
"Nov 25, 2009",28.965,27.857,30.414,28.087
"Dec 3, 2009",27.919,26.658,,
"Dec 11, 2009",26.999,24.124,,26.679
"Dec 19, 2009",28.051,28.603,28.334,29.581
"Dec 27, 2009",29.728,26.47,31.691,31.073
"Jan 1, 2010",28.686,26.808,32.145,30.732
"Jan 9, 2010",23.446,26.129,28.804,24.583
"Jan 17, 2010",28.745,28.701,30.215,31.786
"Jan 25, 2010",27.699,26.417,28.915,27.962
"Feb 2, 2010",26.94,27.84,29.293,29.596
"Feb 10, 2010",27.451,25.381,28.111,24.291
"Feb 18, 2010",25.83,27.651,29.9,28.518
"Feb 26, 2010",28.384,29.384,31.533,30.224
"Mar 6, 2010",29.604,28.287,31.102,30.061
"Mar 14, 2010",28.422,27.959,30.159,29.865
"Mar 22, 2010",28.105,25.421,27.784,28.297
"Mar 30, 2010",26.417,28.355,26.045,25.631
"Apr 7, 2010",27.635,27.826,29.603,29.193
"Apr 15, 2010",28.015,27.544,29.95,29.03
"Apr 23, 2010",28.258,27.619,30.606,29.919
"May 1, 2010",28.267,28.457,30.187,30.541
"May 9, 2010",24.86,24.765,26.323,26.41
"May 17, 2010",27.588,26.905,28.645,29.259
"May 25, 2010",26.54,26.609,26.858,28.913
"Jun 2, 2010",26.449,26.237,28.315,28.022
"Jun 10, 2010",28.343,28.451,30.576,30.256
"Jun 18, 2010",28.52,28.994,31.216,31.817
"Jun 26, 2010",28.532,27.877,31.167,30.872
"Jul 4, 2010",29.161,28.425,31.907,31.931
"Jul 12, 2010",25.427,23.741,26.926,26.375
"Jul 20, 2010",28.756,28.542,31.717,32.048
"Jul 28, 2010",30.119,28.165,33.896,32.386
"Aug 5, 2010",28.756,29.544,32.259,32.68
"Aug 13, 2010",30.563,30.047,33.759,32.543
"Aug 21, 2010",31.541,30.702,33.771,33.293
"Aug 29, 2010",29.422,29.694,32.586,33.705
"Sep 6, 2010",31.098,31.661,32.349,34.531
"Sep 14, 2010",30.839,31.344,33.363,34.684
"Sep 22, 2010",32.821,32.455,35.578,35.908
"Sep 30, 2010",32.615,32.99,35.021,36.113
"Oct 8, 2010",31.431,33.89,34.214,34.231
"Oct 16, 2010",29.637,31.213,32.601,34.179
"Oct 24, 2010",31.653,30.507,,29.487
"Nov 1, 2010",29.832,30.376,32.968,32.705
"Nov 9, 2010",30.549,32.038,25.187,22.098
"Nov 17, 2010",29.159,29.715,31.778,32.594
"Nov 25, 2010",30.01,29.513,30.217,29.224
"Dec 3, 2010",29.181,29.893,31.334,30.099
"Dec 11, 2010",28.008,29.425,29.943,31.142
"Dec 19, 2010",27.701,27.491,30.294,30.203
"Dec 27, 2010",27.645,22.658,,28.982
"Jan 1, 2011",28.044,26.747,28.622,29.82
"Jan 9, 2011",28.004,28.954,29.755,26.455
"Jan 17, 2011",33.095,,,
"Jan 25, 2011",27.024,26.272,27.795,31.076
"Feb 2, 2011",28.021,32.928,27.865,29.482
"Feb 10, 2011",28.904,26.352,30.142,30.689
"Feb 18, 2011",27.752,29.858,30.525,29.922
"Feb 26, 2011",28.016,29.068,27.329,31.329
"Mar 6, 2011",28.902,26.502,28.415,27.694
"Mar 14, 2011",29.074,25.895,30.145,28.893
"Mar 22, 2011",28.076,26.548,28.882,33.482
"Mar 30, 2011",27.482,26.099,27.369,26.738
"Apr 7, 2011",26.485,27.312,26.862,28.837
"Apr 15, 2011",27.488,27.839,28.765,29.045
"Apr 23, 2011",26.166,26.478,28.669,28.41
"May 1, 2011",26.197,24.7,27.936,28.109
"May 9, 2011",27.438,27.711,30.036,29.093
"May 17, 2011",27.268,26.5,28.713,29.011
"May 25, 2011",27.101,27.193,29.692,29.602
"Jun 2, 2011",28.818,28.063,31.357,30.907
"Jun 10, 2011",28.129,27.703,31.782,30.575
"Jun 18, 2011",28.906,29.072,32.153,31.893
"Jun 26, 2011",26.081,26.242,29.564,28.029
"Jul 4, 2011",26.962,27.097,30.423,30.796
"Jul 12, 2011",28.801,29.45,32.905,32.7
"Jul 20, 2011",29.828,29.204,33.987,33.453
"Jul 28, 2011",29.866,27.855,33.552,31.199
"Aug 5, 2011",31.513,31.269,36.458,36.026
"Aug 13, 2011",30.547,31.214,34.977,35.432
"Aug 21, 2011",28.203,28.919,32.178,32.398
"Aug 29, 2011",30.504,30.147,33.608,33.368
"Sep 6, 2011",30.167,30.574,33.364,33.489
"Sep 14, 2011",31.254,29.697,33.919,32.842
"Sep 22, 2011",30.769,30.969,32.88,35.099
"Sep 30, 2011",30.271,30.571,32.495,33.301
"Oct 8, 2011",30.039,31.149,33.174,33.403
"Oct 16, 2011",28.512,30.042,29.694,28.508
"Oct 24, 2011",30.431,30.176,32.741,33.422
"Nov 1, 2011",29.385,28.505,31.3,30.714
"Nov 9, 2011",28.98,28.047,29.15,32.781
"Nov 17, 2011",28.64,28.815,31.816,30.376
"Nov 25, 2011",29.072,28.509,27.668,27.701
"Dec 3, 2011",29.707,28.103,30.475,27.915
"Dec 11, 2011",29.118,26.515,29.933,29.646
"Dec 19, 2011",29.347,26.718,,29.497
"Dec 27, 2011",25.181,27.548,25.498,30.09
"Jan 1, 2012",28.451,26.604,28.901,32.255
"Jan 9, 2012",25.947,27.359,,
"Jan 17, 2012",26.332,27.885,,
"Jan 25, 2012",29.536,27.6,30.57,28.927
"Feb 2, 2012",29.202,28.793,31.403,30.411
"Feb 10, 2012",25.216,25.813,,
"Feb 18, 2012",27.489,23.862,27.972,28.451
"Feb 26, 2012",29.345,28.653,30.812,30.405
"Mar 5, 2012",28.589,25.566,31.043,26.111
"Mar 13, 2012",27.756,28.555,29.664,28.938
"Mar 21, 2012",27.968,27.786,29.281,29.471
"Mar 29, 2012",28.833,28.218,29.697,29.437
"Apr 6, 2012",28.09,27.84,29.161,30.01
"Apr 14, 2012",27.929,27.426,28.64,29.2
"Apr 22, 2012",27.782,26.808,29.299,28.746
"Apr 30, 2012",26.973,25.855,28.431,27.854
"May 8, 2012",28.28,27.684,30.491,28.964
"May 16, 2012",26.802,25.814,28.127,28.814
"May 24, 2012",27.837,26.175,28.392,28.01
"Jun 1, 2012",26.479,26.535,27.934,29.334
"Jun 9, 2012",26.548,26.475,27.913,28.026
"Jun 17, 2012",27.436,26.776,29.56,28.844
"Jun 25, 2012",27.7,27.238,30.17,29.754
"Jul 3, 2012",27.622,27.757,30.547,30.355
"Jul 11, 2012",26.796,25.151,29.572,28.073
"Jul 19, 2012",27.776,27.374,31.157,30.387
"Jul 27, 2012",30.36,29.372,33.671,33.446
"Aug 4, 2012",31.161,30.309,35.176,33.999
"Aug 12, 2012",30.003,30.515,34.759,34.647
"Aug 20, 2012",30.41,30.46,34.647,34.753
"Aug 28, 2012",30.24,30.335,34.51,34.129
"Sep 5, 2012",31.82,31.682,35.628,35.354
"Sep 13, 2012",32.3,31.425,36.167,35.832
"Sep 21, 2012",31.134,32.51,35.137,35.813
"Sep 29, 2012",30.628,30.703,31.897,34.265
"Oct 7, 2012",31.361,31.425,34.272,32.215
"Oct 15, 2012",31.218,30.506,33.464,33.414
"Oct 23, 2012",31.311,31.047,33.278,33.344
"Oct 31, 2012",30.987,30.656,32.052,32.002
"Nov 8, 2012",30.657,29.721,32.136,34.058
"Nov 16, 2012",29.401,27.567,,
"Nov 24, 2012",30.995,27.422,31.314,27.218
"Dec 2, 2012",30.286,30.412,31.352,33.001
"Dec 10, 2012",30.084,29.401,,30.376
"Dec 18, 2012",28.8,27.893,31.041,30.24
"Dec 26, 2012",27.796,28.801,29.907,31.48
"Jan 1, 2013",26.524,25.21,28.412,26.733
"Jan 9, 2013",28.795,26.164,29.83,27.17
"Jan 17, 2013",28.937,26.189,31.106,28.089
"Jan 25, 2013",27.326,26.769,27.792,
"Feb 2, 2013",26.021,27.294,,
"Feb 10, 2013",29.613,27.272,29.324,28.447
"Feb 18, 2013",27.459,25.746,29.322,26.763
"Feb 26, 2013",26.033,27.31,28.039,29.04
"Mar 6, 2013",28.216,29.218,30.045,29.468
"Mar 14, 2013",26.826,21.36,,
"Mar 22, 2013",27.047,27.505,29.004,
"Mar 30, 2013",27.93,28.396,28.937,30.2
"Apr 7, 2013",29.021,27.057,29.852,29.091
"Apr 15, 2013",27.607,25.384,29.001,28.505
"Apr 23, 2013",26.794,26.077,27.066,28.554
"May 1, 2013",27.816,26.544,29.416,28.604
"May 9, 2013",27.223,25.841,28.496,28.961
"May 17, 2013",26.444,26.802,27.398,28.106
"May 25, 2013",26.279,25.713,26.804,28.204
"Jun 2, 2013",27.398,26.304,28.894,28.314
"Jun 10, 2013",27.877,27.566,29.237,29.537
"Jun 18, 2013",27.576,26.898,29.446,29.258
"Jun 26, 2013",27.007,25.727,28.546,28.89
"Jul 4, 2013",27.641,27.246,29.876,29.27
"Jul 12, 2013",28.242,27.797,31.006,30.796
"Jul 20, 2013",26.49,24.599,28.564,27.267
"Jul 28, 2013",28.95,29.36,32.525,32.472
"Aug 5, 2013",29.06,28.352,33.245,32.465
"Aug 13, 2013",28.086,26.636,31.524,30.838
"Aug 21, 2013",27.666,27.116,31.837,30.681
"Aug 29, 2013",30.372,30.09,34.314,34.535
"Sep 6, 2013",30.707,30.942,33.747,35.251
"Sep 14, 2013",29.473,30.009,32.289,34.021
"Sep 22, 2013",30.33,29.874,32.655,33.646
"Sep 30, 2013",30.686,30.885,32.435,34.704
"Oct 8, 2013",29.402,31.055,30.46,29.764
"Oct 16, 2013",30.111,28.349,32.284,29.348
"Oct 24, 2013",29.476,30.917,32.485,32.886
"Nov 1, 2013",28.304,24.752,28.22,28.03
"Nov 9, 2013",29.178,28.808,31.62,33.717
"Nov 17, 2013",27.71,30.784,30.124,
"Nov 25, 2013",29.369,29.033,,28.533
"Dec 3, 2013",28.621,28.062,30.649,30.703
"Dec 11, 2013",29.759,27.699,,30.958
"Dec 19, 2013",29.375,30.146,27.51,27.374
"Dec 27, 2013",29.898,27.131,26.855,28.371
"Jan 1, 2014",29.223,30.592,32.278,31.462
"Jan 9, 2014",24.654,26.622,27.934,29.458
"Jan 17, 2014",27.358,27.083,28.757,29.925
"Jan 25, 2014",26.339,27.577,,22.797
"Feb 2, 2014",27.46,30.242,,28.053
"Feb 10, 2014",25.845,28.695,27.517,
"Feb 18, 2014",25.999,24.789,27.689,25.626
"Feb 26, 2014",26.527,25.148,30.893,27.25
"Mar 6, 2014",29.603,24.857,30.607,25.532
"Mar 14, 2014",28.078,27.266,28.646,29.784
"Mar 22, 2014",26.643,25.714,31.149,28.854
"Mar 30, 2014",28.317,27.406,28.956,29.435
"Apr 7, 2014",28.823,26.964,29.52,29.158
"Apr 15, 2014",27.726,26.638,29.663,28.547
"Apr 23, 2014",27.82,26.179,28.39,27.018
"May 1, 2014",28.032,27.665,29.979,28.801
"May 9, 2014",27.052,26.475,28.968,28.513
"May 17, 2014",26.781,26.434,29.008,28.228
"May 25, 2014",26.318,25.413,26.651,27.776
"Jun 2, 2014",27.501,27.232,29.004,29.56
"Jun 10, 2014",28.011,26.37,29.481,28.903
"Jun 18, 2014",27.506,26.951,29.497,29.228
"Jun 26, 2014",26.311,27.106,28.21,29.068
"Jul 4, 2014",27.265,27.074,29.714,29.229
"Jul 12, 2014",28.625,28.359,31.594,31.294
"Jul 20, 2014",27.236,26.221,30.306,29.285
"Jul 28, 2014",28.994,28.786,32.863,31.883
"Aug 5, 2014",27.743,29.465,31.574,32.404
"Aug 13, 2014",29.951,29.794,34.819,34.436
"Aug 21, 2014",30.762,29.643,33.867,33.921
"Aug 29, 2014",31.352,29.819,34.512,34.852
"Sep 6, 2014",30.446,31.112,34.021,35.852
"Sep 14, 2014",30.637,30.116,32.904,33.706
"Sep 22, 2014",30.984,30.948,33.739,35.023
"Sep 30, 2014",31.823,30.481,33.786,34.863
"Oct 8, 2014",29.245,30.86,32.11,34.934
"Oct 16, 2014",31.085,30.887,34.259,34.189
"Oct 24, 2014",30.474,32.154,30.826,
"Nov 1, 2014",31.704,30.168,33.137,31.852
"Nov 9, 2014",30.749,28.936,,
"Nov 17, 2014",29.95,27.526,29.969,30.814
"Nov 25, 2014",29.943,29.961,31.187,31.588
"Dec 3, 2014",28.604,26.906,29.114,
"Dec 11, 2014",28.01,28.126,30.35,29.647
"Dec 19, 2014",30.086,30.131,30.053,28.793
"Dec 27, 2014",28.481,28.324,30.584,30.55
"Jan 1, 2015",30.071,28.252,30.781,30.241
"Jan 9, 2015",28.085,26.143,29.405,28.103
"Jan 17, 2015",24.997,27.567,30.498,29.628
"Jan 25, 2015",27.756,29.055,29.481,29.088
"Feb 2, 2015",28.621,29.824,29.161,30.957
"Feb 10, 2015",26.4,27.425,29.73,28.504
"Feb 18, 2015",26.564,27.307,28.512,25.129
"Feb 26, 2015",28.511,26.404,27.96,24.247
"Mar 6, 2015",27.52,30.794,28.121,31.532
"Mar 14, 2015",26.853,24.63,27.349,26.774
"Mar 22, 2015",28.495,26.589,29.521,29.152
"Mar 30, 2015",28.296,27.565,30.215,29.967
"Apr 7, 2015",27.799,28.155,29.945,29.688
"Apr 15, 2015",27.656,27.598,28.017,30.974
"Apr 23, 2015",27.406,28.098,29.292,29.584
"May 1, 2015",27.869,25.509,27.651,26.661
"May 9, 2015",26.384,25.958,29.042,27.706
"May 17, 2015",27.998,26.478,29.223,28.641
"May 25, 2015",27.243,27.185,28.312,28.958
"Jun 2, 2015",28.426,26.871,29.544,28.546
"Jun 10, 2015",27.958,28.046,30.084,29.554
"Jun 18, 2015",27.411,25.432,29.059,27.804
"Jun 26, 2015",28.906,27.539,31.293,30.054
"Jul 4, 2015",28.466,26.313,30.535,29.62
"Jul 12, 2015",28.646,27.384,31.315,30.602
"Jul 20, 2015",29.077,27.539,32.192,30.891
"Jul 28, 2015",31.111,30.232,35.256,33.892
"Aug 5, 2015",30.643,30.274,34.703,34.438
"Aug 13, 2015",31.832,30.557,36.397,34.874
"Aug 21, 2015",32.145,31.396,36.495,35.685
"Aug 29, 2015",31.443,31.069,35.23,35.627
"Sep 6, 2015",32.218,31.01,35.062,33.48
"Sep 14, 2015",32.525,32.345,36.054,35.369
"Sep 22, 2015",32.768,31.823,36.581,36.174
"Sep 30, 2015",33.115,31.404,35.449,36.537
"Oct 8, 2015",31.754,30.26,32.372,33.803
"Oct 16, 2015",32.886,32.997,36.171,37.208
"Oct 24, 2015",32.757,32.242,37.162,36.546
