"time","Porto Velho","Vilhena","Ariquemes","Cacoal"
"Jan 1, 2007",,,,
"Jan 9, 2007",22.036,20.766,22.077,22.698
"Jan 17, 2007",23.157,18.794,23.002,20.885
"Jan 25, 2007",22.583,21.004,22.266,
"Feb 2, 2007",,19.943,,
"Feb 10, 2007",21.407,,,
"Feb 18, 2007",21.811,19.2,19.117,18.732
"Feb 26, 2007",,20.595,21.947,21.293
"Mar 6, 2007",21.491,20.175,21.055,21.128
"Mar 14, 2007",,,,
"Mar 22, 2007",22.667,19.705,22.61,21.58
"Mar 30, 2007",21.59,20.588,21.827,22.9
"Apr 7, 2007",20.907,18.026,19.593,20.091
"Apr 15, 2007",21.164,21.458,22.514,22.515
"Apr 23, 2007",21.817,20.29,22.113,21.439
"May 1, 2007",21.072,20.195,21.017,21.08
"May 9, 2007",18.854,20.181,19.335,20.563
"May 17, 2007",19.25,20.257,19.824,19.656
"May 25, 2007",19.336,18.76,19.738,19.512
"Jun 2, 2007",21.539,19.908,21.239,20.907
"Jun 10, 2007",22.539,19.979,21.963,21.027
"Jun 18, 2007",21.295,18.378,20.61,19.372
"Jun 26, 2007",20.601,17.681,19.673,18.43
"Jul 4, 2007",21.961,18.997,21.102,19.926
"Jul 12, 2007",19.893,18.36,19.484,18.587
"Jul 20, 2007",21.777,17.446,21.133,17.072
"Jul 28, 2007",19.689,17.096,19.059,18.152
"Aug 5, 2007",21.776,18.997,20.702,20.038
"Aug 13, 2007",21.894,18.58,20.647,19.57
"Aug 21, 2007",22.365,20.232,22.142,21.208
"Aug 29, 2007",20.765,19.728,21.643,20.756
"Sep 6, 2007",22.558,20.978,22.99,22.597
"Sep 14, 2007",22.608,21.592,21.289,21.572
"Sep 22, 2007",22.45,19.676,22.335,20.58
"Sep 30, 2007",23.526,21.692,23.515,22.911
"Oct 8, 2007",,21.901,,
"Oct 16, 2007",22.226,20.289,22.258,22.435
"Oct 24, 2007",21.025,20.148,19.69,18.976
"Nov 1, 2007",23.049,18.396,,
"Nov 9, 2007",20.883,20.397,18.73,22.364
"Nov 17, 2007",,20.923,,21.978
"Nov 25, 2007",,17.97,,
"Dec 3, 2007",21.489,17.922,21.553,19.342
"Dec 11, 2007",21.442,19.409,21.058,
"Dec 19, 2007",20.265,19.973,18.931,21.155
"Dec 27, 2007",,,,
"Jan 1, 2008",20.937,,21.461,
"Jan 9, 2008",,,,
"Jan 17, 2008",,17.729,,
"Jan 25, 2008",,,,
"Feb 2, 2008",20.239,18.751,,
"Feb 10, 2008",19.593,18.716,,18.784
"Feb 18, 2008",20.773,,,
"Feb 26, 2008",20.228,17.793,,21.149
"Mar 5, 2008",20.522,18.728,,
"Mar 13, 2008",,19.426,,21.003
"Mar 21, 2008",20.206,17.632,,
"Mar 29, 2008",19.38,16.873,,15.676
"Apr 6, 2008",21.899,18.896,21.576,20.752
"Apr 14, 2008",20.27,19.842,20.207,20.179
"Apr 22, 2008",22.021,19.815,21.911,20.496
"Apr 30, 2008",17.564,18.117,17.517,18.743
"May 8, 2008",19.738,19.521,19.486,17.984
"May 16, 2008",21.34,21.083,22.36,21.962
"May 24, 2008",21.451,18.412,20.693,19.546
"Jun 1, 2008",20.383,17.45,19.491,18.308
"Jun 9, 2008",21.367,18.986,20.951,20.145
"Jun 17, 2008",19.712,18.096,19.222,19.175
"Jun 25, 2008",20.411,17.676,19.479,18.525
"Jul 3, 2008",21.44,18.316,20.368,19.347
"Jul 11, 2008",20.203,16.806,19.025,17.863
"Jul 19, 2008",21.645,18.575,20.6,19.432
"Jul 27, 2008",22.018,18.549,21.182,19.695
"Aug 4, 2008",22.417,19.788,22.253,19.832
"Aug 12, 2008",23.048,19.864,21.923,20.664
"Aug 20, 2008",22.706,19.458,22.081,20.51
"Aug 28, 2008",22.782,21.15,23.211,22.457
"Sep 5, 2008",21.783,20.334,22.601,22.059
"Sep 13, 2008",21.577,20.637,21.485,21.539
"Sep 21, 2008",22.424,20.604,20.191,21.799
"Sep 29, 2008",23.982,21.121,22.407,21.641
"Oct 7, 2008",21.716,20.428,21.319,20.619
"Oct 15, 2008",21.23,19.679,21.736,18.35
"Oct 23, 2008",22.309,21.464,21.608,21.012
"Oct 31, 2008",22.394,19.659,,22.845
"Nov 8, 2008",22.367,21.426,21.949,21.303
"Nov 16, 2008",,15.207,,
"Nov 24, 2008",,,,
"Dec 2, 2008",20.55,17.571,,20.051
"Dec 10, 2008",,,,
"Dec 18, 2008",,,,
"Dec 26, 2008",22.86,19.682,,
"Jan 1, 2009",20.658,19.264,,
"Jan 9, 2009",22.407,22.507,23.68,23.751
"Jan 17, 2009",,,,
"Jan 25, 2009",,,,
"Feb 2, 2009",21.306,22.517,,
"Feb 10, 2009",,20.092,,20.75
"Feb 18, 2009",20.37,,,
"Feb 26, 2009",22.304,18.953,21.473,
"Mar 6, 2009",19.356,,20.934,
"Mar 14, 2009",,,,
"Mar 22, 2009",23.056,19.225,,
"Mar 30, 2009",21.763,,20.766,18.175
"Apr 7, 2009",18.55,,13.47,
"Apr 15, 2009",24.391,19.969,,21.656
"Apr 23, 2009",21.829,19.247,21.987,20.865
"May 1, 2009",21.732,19.861,21.243,21.321
"May 9, 2009",22.142,20.063,21.847,20.889
"May 17, 2009",21.45,19.641,20.913,20.174
"May 25, 2009",21.105,19.534,20.355,20.023
"Jun 2, 2009",19.133,17.851,19.08,19.137
"Jun 10, 2009",20.683,18.583,20.57,19.307
"Jun 18, 2009",20.975,20.082,21.008,20.521
"Jun 26, 2009",20.687,19.951,20.258,20.276
"Jul 4, 2009",21.845,18.466,21.008,19.904
"Jul 12, 2009",21.98,19.618,21.351,20.655
"Jul 20, 2009",20.973,19.41,20.636,19.618
"Jul 28, 2009",22.08,19.41,21.35,20.261
"Aug 5, 2009",21.818,19.39,20.971,20.072
"Aug 13, 2009",22.118,20.216,21.717,20.712
"Aug 21, 2009",22.102,20.35,20.89,21.201
"Aug 29, 2009",23.068,21.166,22.572,21.826
"Sep 6, 2009",23.275,20.1,22.564,21.733
"Sep 14, 2009",22.512,21.909,23.209,23.318
"Sep 22, 2009",22.353,20.725,21.167,21.205
"Sep 30, 2009",22.114,19.862,22.016,20.837
"Oct 8, 2009",23.337,21.664,23.315,22.409
"Oct 16, 2009",22.624,21.233,,
"Oct 24, 2009",23.944,22.29,23.76,23.794
"Nov 1, 2009",22.623,18.192,21.456,
"Nov 9, 2009",22.434,18.833,18.733,
"Nov 17, 2009",21.229,20.721,,23.635
"Nov 25, 2009",,18.843,,
"Dec 3, 2009",,,,
"Dec 11, 2009",21.281,14.785,,22.307
"Dec 19, 2009",23.101,20.324,21.083,21.324
"Dec 27, 2009",,19.656,21.088,20.922
"Jan 1, 2010",22.233,19.225,,19.879
"Jan 9, 2010",,19.664,,20.989
"Jan 17, 2010",25.489,21.467,23.063,23.08
"Jan 25, 2010",,,,
"Feb 2, 2010",,21.107,,22.998
"Feb 10, 2010",21.918,18.201,,
"Feb 18, 2010",23.132,19.804,,
"Feb 26, 2010",,,,
"Mar 6, 2010",,21.407,,
"Mar 14, 2010",22.307,20.586,22.41,20.868
"Mar 22, 2010",23.904,19.083,,
"Mar 30, 2010",22.629,20.588,20.784,18.851
"Apr 7, 2010",20.951,19.204,20.271,19.54
"Apr 15, 2010",22.975,21.604,22.654,22.408
"Apr 23, 2010",23.681,21.99,23.134,23.363
"May 1, 2010",21.789,20.323,21.71,21.369
"May 9, 2010",16.334,15.581,15.075,14.931
"May 17, 2010",22.205,20.447,21.588,20.748
"May 25, 2010",21.399,20.088,20.986,21.36
"Jun 2, 2010",21.537,19.969,21.597,21.068
"Jun 10, 2010",22.632,19.569,21.879,20.61
"Jun 18, 2010",22.927,20.293,22.275,21.394
"Jun 26, 2010",21.273,18.583,20.371,19.388
"Jul 4, 2010",22.689,18.881,21.79,20.367
"Jul 12, 2010",18.617,14.067,16.395,13.92
"Jul 20, 2010",21.052,19.116,20.878,19.611
"Jul 28, 2010",22.208,19.512,21.557,20.368
"Aug 5, 2010",19.827,17.314,19.333,17.571
"Aug 13, 2010",20.616,18.315,19.703,18.926
"Aug 21, 2010",23.207,20.372,22.204,21.228
"Aug 29, 2010",22.147,21.782,22.985,22.55
"Sep 6, 2010",22.066,20.999,21.889,21.569
"Sep 14, 2010",22.242,23.19,22.754,22.577
"Sep 22, 2010",24.004,23.146,24.427,24.424
"Sep 30, 2010",23.254,19.405,22.811,21.741
"Oct 8, 2010",23.635,21.2,23.112,22.797
"Oct 16, 2010",23.472,19.633,21.325,20.596
"Oct 24, 2010",21.013,20.998,,20.065
"Nov 1, 2010",21.123,21.635,,
"Nov 9, 2010",18.843,20.265,21.288,20.281
"Nov 17, 2010",,21.953,,
"Nov 25, 2010",,,,
"Dec 3, 2010",19.673,19.848,17.051,
"Dec 11, 2010",20.781,18.275,18.925,17.529
"Dec 19, 2010",22.061,20.787,21.876,
"Dec 27, 2010",,,,
"Jan 1, 2011",22.954,17.973,20.178,19.525
"Jan 9, 2011",19.761,20.143,,20.667
"Jan 17, 2011",,,,
"Jan 25, 2011",,19.642,,20.789
"Feb 2, 2011",21.549,,,
"Feb 10, 2011",,,,
"Feb 18, 2011",21.486,19.714,22.239,20.715
"Feb 26, 2011",21.967,18.057,21.253,21.463
"Mar 6, 2011",,,17.735,
"Mar 14, 2011",20.614,19.101,,
"Mar 22, 2011",23.173,,,
"Mar 30, 2011",,,,
"Apr 7, 2011",21.894,20.24,21.769,20.644
"Apr 15, 2011",22.204,20.694,22.165,21.258
"Apr 23, 2011",22.466,21.314,22.408,22.079
"May 1, 2011",20.966,20.63,20.203,20.138
"May 9, 2011",21.16,20.19,18.658,21.238
"May 17, 2011",21.791,19.978,21.334,21.122
"May 25, 2011",21.837,19.443,20.971,19.731
"Jun 2, 2011",21.654,19.327,20.81,20.164
"Jun 10, 2011",22.452,20.111,21.617,20.879
"Jun 18, 2011",22.634,19.303,21.702,20.257
"Jun 26, 2011",19.851,17.791,20.811,18.972
"Jul 4, 2011",19.933,17.84,20.007,18.254
"Jul 12, 2011",22.14,20.255,21.589,21.179
"Jul 20, 2011",21.705,19.817,21.228,20.754
"Jul 28, 2011",22.292,18.818,21.966,20.567
"Aug 5, 2011",21.55,19.755,21.506,20.726
"Aug 13, 2011",22.543,20.765,22.251,21.363
"Aug 21, 2011",19.446,17.849,19.176,18.32
"Aug 29, 2011",22.79,21.765,22.904,22.671
"Sep 6, 2011",22.942,21.881,22.813,22.369
"Sep 14, 2011",22.624,21.277,22.066,21.198
"Sep 22, 2011",22.223,20.848,22.078,21.319
"Sep 30, 2011",22.619,21.005,21.864,21.884
"Oct 8, 2011",22.222,18.258,22.464,20.519
"Oct 16, 2011",22.016,,18.924,21.977
"Oct 24, 2011",22.697,20.186,21.656,21.743
"Nov 1, 2011",22.454,20.318,21.925,20.072
"Nov 9, 2011",23.032,21.685,23.153,23.285
"Nov 17, 2011",23.979,20.634,,21.482
"Nov 25, 2011",21.877,18.377,,
"Dec 3, 2011",23.105,21.178,22.532,20.703
"Dec 11, 2011",24.004,,,
"Dec 19, 2011",,,,
"Dec 27, 2011",21.843,19.031,21.749,22.362
"Jan 1, 2012",,19.66,,17.535
"Jan 9, 2012",16.896,20.071,,
"Jan 17, 2012",19.789,18.487,,19.305
"Jan 25, 2012",,19.34,,
"Feb 2, 2012",22.401,20.087,,19.678
"Feb 10, 2012",,,,
"Feb 18, 2012",21.254,19.719,20.857,20.783
"Feb 26, 2012",20.311,17.641,20.177,17.858
"Mar 5, 2012",17.729,20.474,,21.351
"Mar 13, 2012",22.403,19.021,,21.216
"Mar 21, 2012",,,,21.803
"Mar 29, 2012",21.302,20.661,12.69,21.447
"Apr 6, 2012",22.931,20.849,21.502,22.708
