"time","Porto Velho","Vilhena","Ariquemes","Cacoal"
"Jan 1, 2007",366.941,340.473,318.774,277.04
"Feb 1, 2007",288.662,388.679,322.125,372.385
"Mar 1, 2007",249.635,151.395,237.796,172.577
"Apr 1, 2007",221.004,78.264,165.859,123.764
"May 1, 2007",103.109,14.953,85.247,21.952
"Jun 1, 2007",13.721,3.006,2.459,0.004
"Jul 1, 2007",17.594,13.489,14.991,34.118
"Aug 1, 2007",13.039,4.824,10.057,1.653
"Sep 1, 2007",63.186,36.075,57.123,37.629
"Oct 1, 2007",158.31,205.996,198.318,232.814
"Nov 1, 2007",231.012,241.564,240.102,260.22
"Dec 1, 2007",279.804,234.879,238.091,208.25
"Jan 1, 2008",360.098,380.114,353.925,296.951
"Feb 1, 2008",279.019,369.816,368.143,357.798
"Mar 1, 2008",243.507,308.586,234.832,302.161
"Apr 1, 2008",159.398,174.527,175.681,163.242
"May 1, 2008",151.383,29.323,174.233,31.199
"Jun 1, 2008",30.644,7.091,1.597,3.131
"Jul 1, 2008",16.328,3.463,5.633,1.461
"Aug 1, 2008",19.341,75.141,27.832,36.439
"Sep 1, 2008",145.359,82.315,79.743,59.235
"Oct 1, 2008",134.821,186.369,133.281,136.043
"Nov 1, 2008",327.426,206.786,266.545,206.545
"Dec 1, 2008",325.655,199.218,228.058,209.405
"Jan 1, 2009",251.675,255.181,265.884,284.128
"Feb 1, 2009",314.186,251.719,335.221,395.485
"Mar 1, 2009",349.018,303.857,250.171,318.605
"Apr 1, 2009",289.737,154.501,272.483,192.65
"May 1, 2009",120.512,81.175,95.841,56.115
"Jun 1, 2009",67.98,9.933,71.661,8.102
"Jul 1, 2009",57.119,18.046,41.276,21.338
"Aug 1, 2009",43.233,17.161,56.589,27.267
"Sep 1, 2009",101.93,72.58,103.614,76.49
"Oct 1, 2009",159.483,152.231,204.747,179.015
"Nov 1, 2009",225.446,331.635,327.004,200.886
"Dec 1, 2009",309.491,191.937,351.069,241.978
"Jan 1, 2010",334.457,503.261,335.889,427.643
"Feb 1, 2010",227.249,307.452,240.277,320.852
"Mar 1, 2010",246.25,218.754,257.571,211.941
"Apr 1, 2010",77.228,88.498,101.486,77.106
"May 1, 2010",109.651,36.066,109.487,59.957
