pop,cod_ibg,ano,state
24392,110001,2010,11
12816,110037,2010,11
17135,110040,2010,11
16853,110034,2010,11
90353,110002,2010,11
32383,110045,2010,11
6313,110003,2010,11
5736,110060,2010,11
78574,110004,2010,11
12665,110070,2010,11
19779,110080,2010,11
3575,110090,2010,11
17029,110005,2010,11
8301,110092,2010,11
18591,110006,2010,11
8783,110007,2010,11
13678,110008,2010,11
15854,110094,2010,11
28729,110009,2010,11
10512,110100,2010,11
41656,110010,2010,11
8566,110110,2010,11
52005,110011,2010,11
116610,110012,2010,11
31135,110013,2010,11
10352,110120,2010,11
11878,110130,2010,11
14091,110140,2010,11
19874,110014,2010,11
22546,110033,2010,11
7493,110143,2010,11
10240,110050,2010,11
37928,110015,2010,11
4810,110145,2010,11
33822,110018,2010,11
2315,110146,2010,11
428527,110020,2010,11
22319,110025,2010,11
3524,110147,2010,11
3316,110026,2010,11
50648,110028,2010,11
8886,110029,2010,11
6018,110148,2010,11
16035,110149,2010,11
21828,110032,2010,11
11629,110150,2010,11
4888,110155,2010,11
10649,110160,2010,11
12974,110170,2010,11
9384,110175,2010,11
8210,110180,2010,11
76202,110030,2010,11
24228,110001,2011,11
12824,110037,2011,11
17443,110040,2011,11
16624,110034,2011,11
91570,110002,2011,11
32898,110045,2011,11
6221,110003,2011,11
5764,110060,2011,11
78958,110004,2011,11
12757,110070,2011,11
20291,110080,2011,11
3526,110090,2011,11
16939,110005,2011,11
8514,110092,2011,11
18338,110006,2011,11
8654,110007,2011,11
14022,110008,2011,11
16569,110094,2011,11
28962,110009,2011,11
10272,110100,2011,11
41933,110010,2011,11
8700,110110,2011,11
51883,110011,2011,11
117363,110012,2011,11
31779,110013,2011,11
10276,110120,2011,11
11780,110130,2011,11
14203,110140,2011,11
19882,110014,2011,11
23142,110033,2011,11
7436,110143,2011,11
10084,110050,2011,11
37701,110015,2011,11
4901,110145,2011,11
33981,110018,2011,11
2299,110146,2011,11
435732,110020,2011,11
22008,110025,2011,11
3464,110147,2011,11
3345,110026,2011,11
50899,110028,2011,11
8677,110029,2011,11
5938,110148,2011,11
16340,110149,2011,11
21878,110032,2011,11
11624,110150,2011,11
4832,110155,2011,11
10611,110160,2011,11
12828,110170,2011,11
9510,110175,2011,11
8083,110180,2011,11
77937,110030,2011,11
24069,110001,2012,11
12833,110037,2012,11
17742,110040,2012,11
16404,110034,2012,11
92747,110002,2012,11
33397,110045,2012,11
6132,110003,2012,11
5791,110060,2012,11
79330,110004,2012,11
12847,110070,2012,11
20787,110080,2012,11
3479,110090,2012,11
16852,110005,2012,11
8721,110092,2012,11
18093,110006,2012,11
8530,110007,2012,11
14355,110008,2012,11
17262,110094,2012,11
29189,110009,2012,11
10040,110100,2012,11
42202,110010,2012,11
8830,110110,2012,11
51765,110011,2012,11
118092,110012,2012,11
32403,110013,2012,11
10203,110120,2012,11
11686,110130,2012,11
14313,110140,2012,11
19891,110014,2012,11
23719,110033,2012,11
7382,110143,2012,11
9933,110050,2012,11
37482,110015,2012,11
4990,110145,2012,11
34135,110018,2012,11
2283,110146,2012,11
442701,110020,2012,11
21709,110025,2012,11
3406,110147,2012,11
3374,110026,2012,11
51142,110028,2012,11
8476,110029,2012,11
5862,110148,2012,11
16636,110149,2012,11
21927,110032,2012,11
11619,110150,2012,11
4778,110155,2012,11
10575,110160,2012,11
12687,110170,2012,11
9633,110175,2012,11
7961,110180,2012,11
79616,110030,2012,11
25728,110001,2013,11
13827,110037,2013,11
19459,110040,2013,11
17399,110034,2013,11
101269,110002,2013,11
36555,110045,2013,11
